Name,Power,Type,PP,Accuracy,Effect,Effect Chance,Target,Description,Category,
Grass Whistle,0,Grass,24,70,Put to Sleep,0,One Opponent Pokemon,,Non-Damaging,
Tickle,0,Normal,6,100,1- Def -1 Atk,0,One Opponent Pokemon,,Non-Damaging,
Cosmic Power,0,Psychic,6,0,+1 Def +Spdef,0,Your two Pokemon,,Non-Damaging,
Water Spout,150,Water,8,100,take 1/4 damage,0,Both Opponent Pokemon,Unknown,Special,
Signal Beam,75,Bug,24,100,Confuse,10,One Opponent Pokemon,,Physical,
Shadow Punch,70,Ghost,20,0,100% no Type diff.,0,One Opponent Pokemon,,Physical,
Extrasensory,80,Psychic,30,100,Flinch 2x on minimized,30,One Opponent Pokemon,30% chance to make the target flinch. Double damage to Minimized targets.,Special,
Sky Uppercut,90,Fighting,24,100,Sky Uppercut,0,One Opponent Pokemon,,Physical,
Sand Tomb,15,Ground,24,100,2-5 Hits + Lower Evas.,100,One Opponent Pokemon,,Physical,
Sheer Cold,1,Ice,8,30,1 Hit K.O,0,One Opponent Pokemon,,Special,
Muddy Water,95,Water,10,100,Lower Acc.,30,Both Opponent Pokemon,,Special,
Bullet Seed,25,Grass,30,100,Hit 2x,0,One Opponent Pokemon,Hits 2 times in one turn.,Special,
Aerial Ace,60,Flying,32,0,100% no Type diff.,0,One Opponent Pokemon,,Physical,
Ice Shard,40,Ice,30,100,Always 1st strike,0,One Opponent Pokemon,Usually goes first.,Special,
Iron Defense,0,Steel,3,0,Raise Defence sharply,0,Your two Pokemon,,Non-Damaging,
Block,0,Normal,5,100,Prevent escape,0,One Opponent Pokemon,,Non-Damaging,
Howl,0,Normal,5,0,Raise Attk.,0,Your two Pokemon,,Non-Damaging,
Dragon Claw,80,Dragon,24,100,Critical Hit,0,One Opponent Pokemon,High critical hit ratio.,Special,
Frenzy Plant,150,Grass,8,100,Attack + Charge,0,One Opponent Pokemon,,Special,
Bulk Up,0,Fighting,3,0,+1 Atk +1 Def,0,Your two Pokemon,,Non-Damaging,
Bounce,85,Flying,5,85,Fly/Bounce/Dig,30,One Opponent Pokemon,,Physical,
Mud Shot,55,Ground,24,100,Lower Spd.,100,One Opponent Pokemon,,Physical,
Poison Tail,120,Poison,16,100,Badly Poison Chance,30,One Opponent Pokemon,30% change to badly poison the target.,Physical,
Volt Tackle,120,Electric,24,100,1/3 Recoil,30,One Opponent Pokemon,,Special,
Magical Leaf,60,Grass,20,0,100% no Type diff.,0,One Opponent Pokemon,,Special,
Water Sport,0,Water,15,100,Water Sport,0,Your two Pokemon,,Non-Damaging,
Calm Mind,0,Psychic,3,0,+1 Spa +1 Spdef,0,Your two Pokemon,,Non-Damaging,
Leaf Blade,95,Grass,24,100,Critical Hit,0,One Opponent Pokemon,,Special,
Dragon Dance,0,Dragon,3,0,+1 Atk +1 Spe,0,Your two Pokemon,,Non-Damaging,
Rock Blast,25,Rock,10,80,Hit 2-5x,0,One Opponent Pokemon,,Physical,
Shock Wave,60,Electric,20,0,100% no Type diff.,0,One Opponent Pokemon,,Special,
Water Pulse,60,Water,20,100,Confuse,20,One Opponent Pokemon,,Special,
Doom Desire,120,Steel,5,85,Future Sight,0,One Opponent Pokemon,,Physical,
Psycho Boost,140,Psychic,8,100,take 1/4 damage,100,One Opponent Pokemon,Unknown,Special,
,,,,,,,,,,
,,,,,,,,,,
